XIST_long.XIST,EIF1AY_long.EIF1AY,KDM5D_long.KDM5D,UTY_long.UTY,DDX3Y_long.DDX3Y,RPS4Y1_long.RPS4Y1,sex
43613.271,20.737,2,15,6,1,female
32779.413,18.148,2,6,1,0,female
39466.302,3.844,1,3,1,0,female
35421.96,17.978,1,5,3,1,female
41015.503,29.451,0,6,6,1,female
32586.884,30.962,0,0.999,1,5,female
45152.766,30.283,3,8.929,3,1,female
42296.112,32.188,0,7,4,3,female
52854.807,11.121,2,8.001,2,0,female
47866.898,20.233,1,7.001,2,2,female
35835.916,13.289,1,9,3,1,female
27007.335,10.009,10,1,5,1,female
40229.572,31.154,2,5.85,11,3,female
44828.814,36.265,0,10,4.866,2,female
41407.7,37.081,3,16.3,17,10,female
38192.587,28.256,4,18,17,7.006,female
10158.54,5.78,0,1,0,0,female
34779.696,17.321,2,6,7,2,female
1289.184,17.869,2,7,3,0,female
36666.887,22.708,1,7.972,1,1,female
41243.003,26.484,1,9,2,1,female
40485.969,32.582,4,9.001,2,1,female
49076.037,41.842,1,7.998,6,2,female
37728.913,20.145,2,3.961,2,0,female
481.264,312.45,847.411,1513.152,2596.007,979.178,male
207.332,346.971,861.304,1566.884,2611.492,1242.007,male
1193.579,372.243,744.157,1407.986,2778.609,1473.005,male
423.57,437.524,1146.583,1578.276,2997.35,1813.611,male
311.413,385.918,971.853,1624.803,2462.578,1231.67,male
179.525,379.346,890.09,1251,2322.547,1203.013,male
257.278,382.429,869.212,1462.154,3042.497,1364.347,male
845.007,330.227,622.8,1215.639,3091.575,1081.103,male
225.542,405.466,1065.368,1430.655,2877.413,1446.532,male
153.565,370.934,1234.828,1661.049,2890.495,1469.122,male
145.396,342.47,947.401,1525.002,3503.354,1268.712,male
171.766,405.786,1008.217,1399.609,3077.408,1371.917,male
171.14,364.064,759.942,1174.854,2620.195,1342.11,male
150.608,395.77,830.144,1647.979,3548.377,1419.261,male
143.546,355.685,831.553,1467.835,3141.984,1166.006,male
189.109,238.478,1017.869,1546.056,2831.339,1128.338,male
218.195,384.05,1060.563,1460.367,3048.869,1375.367,male
133.107,309.461,844.735,1262.629,3040.851,1286.791,male
186.505,300.666,890.563,1393.57,2944.565,1141.275,male
321.817,279.56,880.116,1204.941,2029.366,1290.377,male
162.734,323.468,647.35,1301.088,2946.463,1197.735,male
180.458,323.664,912.295,1351.777,2960.666,1394.461,male
134.317,364.019,801.759,1153.556,2998.885,1236.439,male
243.64,345.518,988.429,1257.6,2341.937,1262.357,male
