XIST	EIF1AY	KDM5D	UTY	DDX3Y	RPS4Y1	sex
11868	2	25	11	8	34	female
8965	0	6	0	8	17	female
21329	2	28	5	36	31	female
21743	0	4	0	2	12	female
14745	0	14	1	8	11	female
12866	5	16	3	13	28	female
17530	0	11	0	14	17	female
19594	1	24	3	11	26	female
14225	6	17	1	38	50	female
9711	6	22	4	7	22	female
19941	0	15	6	8	24	female
4258	4	10	2	13	24	female
26	1681	11724	1436	6281	12531	male
21	1312	8277	1966	7271	13194	male
16	1342	5402	1101	7945	11000	male
2130	3002	12001	1790	9200	17661	male
56	615	2764	568	1809	8225	male
20	1469	6250	812	6473	9201	male
28	1227	5302	1431	4046	12359	male
33	1344	5848	795	5686	8825	male
12	603	3772	676	2144	7762	male
44	1359	3832	814	8092	9863	male
20	537	3654	1063	3454	8272	male
45	1222	6634	921	5513	9345	male
20	1356	6088	877	8123	9303	male
11	1372	3774	1064	3272	7476	male
21	1621	11942	1645	7892	17141	male
367	1012	3439	840	11140	4335	male
14	949	6350	1340	5883	12327	male
35	1991	2812	905	3380	7471	male
21	1237	8655	1801	5524	13598	male
11	1080	4935	2133	3787	14148	male
4	1311	8362	2131	7524	21716	male
13	3131	3190	1155	1689	7165	male
17	1749	5615	935	5906	8495	male
322	1011	6912	1850	5669	8620	male
18	3924	4089	886	3125	7752	male
30	5854	3931	678	3509	7216	male
20	1064	7138	1711	5967	14138	male
36	1096	5596	1870	12990	8657	male
11	1963	12197	1354	10139	20661	male
216	1369	4372	1284	12420	4822	male
31	925	6427	1254	6309	16118	male
17	796	5343	1619	4450	10019	male
15	899	3747	1297	4004	8064	male
25	678	6839	1404	4600	4216	male
29	426	5287	1225	6160	4509	male
15	1070	1604	661	4136	17029	male
42	2815	3781	779	3692	5339	male
6	870	8003	1442	7299	9182	male
28	1319	6344	2112	18163	9564	male
21	637	3194	1287	2518	9870	male
282	792	1449	344	6867	2234	male
17	1222	5251	890	5691	11145	male
25	1176	5385	1691	6687	13742	male
19	978	3744	1651	4994	10711	male
140	1095	4561	1367	4626	10674	male
26	3508	2065	915	2171	8527	male
15	744	1694	855	1041	4971	male
9	903	1776	851	5037	24377	male
17	1198	10758	1409	6768	12454	male
16	4580	2712	844	4012	5525	male
86	5520	2464	589	2502	5588	male
43	965	4395	858	5429	6698	male
30	1448	5499	1761	10825	8975	male
18	780	7372	1709	6166	8302	male
17	1577	8057	1207	8668	8870	male
34	1043	2958	1171	3200	8838	male
25	1544	8523	1504	8674	9408	male
18	796	4197	953	3718	7815	male
20	488	3025	637	1962	8500	male
28	1250	4210	1034	7217	9606	male
26	931	7569	896	2161	4045	male
8	934	4526	1584	3919	11227	male
27	1581	8299	1447	10232	11185	male
27	844	6445	1350	7004	9422	male
36	1401	7818	1446	9541	9854	male
23	946	6683	2045	8239	14547	male
467	906	3667	848	7838	3716	male
93	821	5272	1546	4541	6877	male
19	1334	5276	1045	7119	7711	male
27	1983	2395	1395	3872	6756	male
19	883	5535	1344	5442	9077	male
58076	8	11	12	21	108	female
968	4	2	0	15	7	female
11360	0	5	2	4	12	female
8004	2	2	0	20	12	female
15046	0	2	4	2	4	female
17924	0	20	10	12	32	female
11842	4	8	6	8	24	female
10539	0	0	0	4	4	female
14576	0	0	1	6	10	female
13623	0	9	4	15	21	female
8491	0	13	3	22	16	female
10122	0	9	4	9	13	female
15496	0	8	0	0	8	female
8285	0	2	0	2	10	female
22461	3	22	6	13	26	female
10472	2	19	8	7	44	female
19158	3	11	4	7	23	female
14634	0	0	0	6	10	female
17062	0	2	0	2	10	female
9519	0	8	0	14	14	female
16584	2	7	2	4	10	female
6381	2	10	6	4	12	female
15521	4	4	2	16	18	female
691	6	17	2	8	14	female
4742	2	13	2	12	18	female
11106	0	9	0	5	3	female
3489	0	4	2	2	2	female
25393	4	9	0	6	24	female
44640	0	11	0	13	37	female
21763	4	18	4	9	20	female
24222	0	2	0	2	2	female
8043	5	10	8	10	29	female
15354	2	13	6	21	20	female
10259	4	16	0	9	23	female
10311	0	10	1	11	8	female
20025	0	9	0	8	23	female
15719	4	28	2	10	31	female
10276	2	18	2	32	34	female
34662	1	18	5	13	22	female
9011	4	8	2	14	23	female
14449	0	1	0	2	0	female
0	741	6424	1374	3701	9151	male
0	832	1813	776	3853	21352	male
9	724	4699	1033	5340	8720	male
14	1026	4540	1208	6548	12444	male
2	1323	3513	1018	5333	10005	male
